entry
ESYT1
2A5D
PCBP1
AREL1
ODC
PPR29
SBNO1
AR13A
NBEA
CP054
FUND1
ZFYV9
M3K19
BAZ2A
MYCB2
ORC2
ATD2B
ZFP28
MIPEP
CD9
ACPH
NCPR
ACM4
M2OM
DYH5
FYN
BCORL
GRM5
PLPR3
O56A4
CHD8
SCF
FUBP2
SNF8
WWP1
TMM59
KAT6A
KIF3B
DVL1
SI1L3
STT3B
RELCH
BFSP1
T2R41
ITB2
F104A
CC146
NHRF3
DOCK3
ICE1
CCD89
CMS1
NCKP5
RAB20
PSB4
NDUS8
TRM1L
FER
RLGPB
G3ST2
RBBP6
ZBT10
ENOPH
NCOA4
RGF1B
ETV4
OBI1
FBP1L
FBX33
SPT13
SLK
CFAB
CHP2
ARMD1
KMT2C
JPH2
ARHGJ
MSTN1
KDM2A
TRM13
ABCA4
PPN
KCNV2
ALKB6
RPB2
F221A
BICD2
UBE3A
PPARG
HIF3A
FABD
PLPP7
RF1M
TPPC8
RLA0
ZSWM2
MSRB1
TXND6
INVS
PHLB2
CRIPT
CLC5A
CHM1B
SRSF8
HNF4G
S2536
AP2E
CHFR
UBP53
FRPD2
TTC14
NCOR1
IDH3B
DDX17
ERD22
FP100
SYCP2
TCPH
GANP
SETBP
ARH37
RRP12
KNOP1
FAK1
OBP2A
EZH1
ELAV4
PTTG
DC1L2
OST48
PSG4
ULK4
PAMR1
KCC2B
NSD1
TAB2
HCN1
ZEB2
UBP8
ZN609
UBP36
TIM
FERM1
BI2L1
FILA
PABP4
ADSV
ZCH12
F161A
DMD
RECQ5
AEN
TCAL1
MEX3B
TVA24
F263
UNC80
GCP5
CDK6
SYFB
PRRT4
KS6A6
INO80
EPHA6
AMER1
CEPT1
SFPQ
GSC2
CAVN1
APOB
ABCA5
SET1A
CLCN5
TSH2
GOLI
WDR81
FHL5
BSN
MRCKA
CLASR
CFLAR
SCRIB
WRN
ADA12
TDR15
COMD9
SIA7C
HEAT4
EXOSX
PRS23
PA24B
S13A1
RGPA2
STAR9
SPP2B
RASFA
PLK3
TOX2
SUIS
ABEC2
OR2BB
MA7D3
NMD3B
GABR2
Z354A
UBP26
NLRP9
F135B
MYO15
ZN576
NUF2
PITX1
REQU
AR6P1
TCAF2
COOA1
UGGG1
ARMC3
HTR5A
CP135
IDH3G
FMN1
MAGI3
CAMP1
GSAP
TTC28
NCOA1
ZN551
KCNB1
ZMY11
TTL10
SAHH
THEG
ALG14
DEPD5
RHG25
LAP4A
CCD62
TPT2L
CLP1
ARC
PEX10
FAT2
MYP0
TIRAP
DDX43
STXB2
HDAC7
KDM3A
IQCE
TV23C
KCNS1
CH058
RUFY3
PKDRE
ZN431
DDX56
SRBP1
D19P1
EFC13
CHD4
SNP29
DHB7
CEMP1
KI21A
CBPO
NUCL
ADPRH
CF195
DPA1
ACOX1
DESP
RL3L
I17RC
NBR1
AXIN1
MINP1
KIF3A
TBC25
CCD17
TRI23
RP1
NEBL
KIBRA
ALMS1
DPOLQ
ZFY
