entry,nc_max,x2_max,log2fc,abs_log2fc,Change
Q8N119,20.88881,9.271099,11.617711,11.617711,Increase
Q9Y5A7,27.40403,15.92158,11.482449999999998,11.482449999999998,Increase
P42858,22.78509,11.45256,11.33253,11.33253,Increase
Q9UF33,23.3561,12.78372,10.57238,10.57238,Increase
P59797,20.39453,9.837648,10.556882,10.556882,Increase
Q14585,19.24178,8.797442,10.444337999999998,10.444337999999998,Increase
Q6P1L5,21.82427,11.63423,10.190039999999998,10.190039999999998,Increase
Q7Z7G1,22.11313,11.94705,10.166080000000001,10.166080000000001,Increase
P01619,21.89801,11.7901,10.107909999999999,10.107909999999999,Increase
P49916,15.20457,5.547535,9.657035,9.657035,Increase
Q8N5J2,21.28425,11.77396,9.51029,9.51029,Increase
Q6ZN19,22.53616,13.29576,9.2404,9.2404,Increase
P51812,20.83968,11.66012,9.179560000000002,9.179560000000002,Increase
P23582,21.59444,12.48576,9.108679999999998,9.108679999999998,Increase
P13804,21.26925,12.25188,9.01737,9.01737,Increase
Q6N043,22.85918,13.97301,8.886169999999998,8.886169999999998,Increase
Q32M78,20.15289,11.31294,8.83995,8.83995,Increase
O95490,23.73079,15.0239,8.70689,8.70689,Increase
Q15911,22.2627,13.61513,8.647569999999998,8.647569999999998,Increase
P19971,25.48663,16.8559,8.630730000000003,8.630730000000003,Increase
O43390,21.68385,13.05715,8.6267,8.6267,Increase
Q6MZT1,22.48661,13.9672,8.519409999999999,8.519409999999999,Increase
Q8WWM7,24.75403,16.23761,8.51642,8.51642,Increase
O94822,22.92495,14.43064,8.494309999999999,8.494309999999999,Increase
Q9H6R0,24.4396,16.14588,8.29372,8.29372,Increase
P25963,19.70569,11.49418,8.21151,8.21151,Increase
Q9H6B4,23.18299,14.97301,8.20998,8.20998,Increase
Q6P2E9,21.20522,13.03199,8.17323,8.17323,Increase
A6NHR8,23.73821,15.59188,8.146329999999999,8.146329999999999,Increase
Q9Y233,22.33145,14.22241,8.10904,8.10904,Increase
Q9NRL2,22.24574,14.19998,8.045760000000001,8.045760000000001,Increase
P21397,20.5102,12.49728,8.012920000000001,8.012920000000001,Increase
P35499,22.44816,14.5149,7.933260000000001,7.933260000000001,Increase
O60266,21.11351,13.21706,7.8964500000000015,7.8964500000000015,Increase
Q63HN8,22.03798,14.14244,7.8955400000000004,7.8955400000000004,Increase
Q9Y4K1,22.69772,14.81624,7.88148,7.88148,Increase
Q8TC07,20.93674,13.09949,7.837250000000001,7.837250000000001,Increase
Q149N8,17.80634,10.03887,7.767469999999999,7.767469999999999,Increase
Q96ST8,23.34195,15.68693,7.65502,7.65502,Increase
P21359,20.74429,13.21256,7.53173,7.53173,Increase
Q15147,20.4077,12.9354,7.472299999999999,7.472299999999999,Increase
Q9BRS2,20.29238,12.89832,7.394060000000001,7.394060000000001,Increase
Q9UBL9,21.98755,14.60499,7.382559999999998,7.382559999999998,Increase
Q8WWH4,17.75483,10.43146,7.323369999999999,7.323369999999999,Increase
P46087,22.34707,15.02431,7.322759999999999,7.322759999999999,Increase
P42768,20.10263,12.78175,7.320880000000001,7.320880000000001,Increase
Q86UE8,21.30018,13.99009,7.310090000000001,7.310090000000001,Increase
Q8N392,17.34804,10.09269,7.255350000000002,7.255350000000002,Increase
O75323,22.62521,15.42019,7.205019999999999,7.205019999999999,Increase
Q9BZQ2,20.69179,13.50129,7.190500000000002,7.190500000000002,Increase
P23246,12.95817,24.63662,-11.67845,11.67845,Decrease
A4D161,14.87512,22.16938,-7.2942599999999995,7.2942599999999995,Decrease
Q8TD10,11.24784,18.05925,-6.811409999999999,6.811409999999999,Decrease
P02746,12.86442,19.5458,-6.681379999999999,6.681379999999999,Decrease
P02768,13.90801,20.41414,-6.506129999999999,6.506129999999999,Decrease
Q13118,7.332071,13.76649,-6.434418999999999,6.434418999999999,Decrease
Q8IYU8,14.36577,20.61139,-6.245620000000001,6.245620000000001,Decrease
Q96EP0,14.56905,20.53641,-5.967359999999999,5.967359999999999,Decrease
Q96SF7,13.5265,19.26956,-5.743059999999998,5.743059999999998,Decrease
Q8WV37,16.53216,22.00331,-5.471149999999998,5.471149999999998,Decrease
Q5T2R2,13.47886,18.93801,-5.459149999999999,5.459149999999999,Decrease
O95425,13.42035,18.75791,-5.33756,5.33756,Decrease
Q8WXR4,15.00215,20.31641,-5.314260000000001,5.314260000000001,Decrease
Q8N9B5,17.00366,22.26924,-5.26558,5.26558,Decrease
Q01415,13.48128,18.74393,-5.262649999999999,5.262649999999999,Decrease
Q9UKV8,12.45702,17.70719,-5.250170000000001,5.250170000000001,Decrease
Q96MR9,12.45946,17.61462,-5.155159999999999,5.155159999999999,Decrease
Q8IYE1,12.4308,17.54443,-5.113629999999999,5.113629999999999,Decrease
Q8NI51,12.45266,17.51915,-5.06649,5.06649,Decrease
O95932,14.38311,19.40324,-5.02013,5.02013,Decrease
Q8N3E9,16.11402,21.04192,-4.927900000000001,4.927900000000001,Decrease
Q9UIR0,13.08011,17.83614,-4.756030000000001,4.756030000000001,Decrease
P12645,15.16946,19.86787,-4.698409999999999,4.698409999999999,Decrease
O75592,15.80632,20.49851,-4.69219,4.69219,Decrease
P54136,15.19037,19.87715,-4.686780000000001,4.686780000000001,Decrease
P12110,15.85046,20.45337,-4.60291,4.60291,Decrease
Q00796,17.87548,22.3792,-4.503720000000001,4.503720000000001,Decrease
Q15061,13.51045,17.98227,-4.471819999999999,4.471819999999999,Decrease
Q3T906,14.6799,19.1225,-4.442599999999999,4.442599999999999,Decrease
Q8NEY8,12.77557,17.21642,-4.440849999999999,4.440849999999999,Decrease
Q7Z4H7,13.46743,17.90746,-4.44003,4.44003,Decrease
Q6ZR08,16.07413,20.49433,-4.420200000000001,4.420200000000001,Decrease
P40692,15.72775,20.12837,-4.40062,4.40062,Decrease
Q96N96,17.05332,21.41365,-4.360330000000001,4.360330000000001,Decrease
Q5VZE5,12.90578,17.16273,-4.25695,4.25695,Decrease
A6NN90,15.42552,19.62924,-4.203719999999999,4.203719999999999,Decrease
P05997,16.67998,20.87646,-4.196480000000001,4.196480000000001,Decrease
Q99698,13.20318,17.39279,-4.189610000000002,4.189610000000002,Decrease
O43526,12.63504,16.79738,-4.16234,4.16234,Decrease
Q9BX26,15.36665,19.50084,-4.13419,4.13419,Decrease
Q9BRK4,14.01703,18.10486,-4.0878299999999985,4.0878299999999985,Decrease
Q9H5L6,11.71246,15.7997,-4.0872399999999995,4.0872399999999995,Decrease
Q9BYN0,13.4806,17.48705,-4.006449999999999,4.006449999999999,Decrease
Q6P995,14.21021,18.1136,-3.9033900000000017,3.9033900000000017,Decrease
O95886,13.87882,17.76159,-3.8827700000000025,3.8827700000000025,Decrease
P02776,18.07515,21.80229,-3.7271399999999986,3.7271399999999986,Decrease
O95391,9.008546,12.69251,-3.6839639999999996,3.6839639999999996,Decrease
Q9H1X3,10.15294,13.80371,-3.6507700000000014,3.6507700000000014,Decrease
Q7LBR1,18.69485,22.33727,-3.6424200000000013,3.6424200000000013,Decrease
O00116,13.48309,17.06132,-3.578229999999998,3.578229999999998,Decrease
