entry,x1_max,x3_max,log2fc,abs_log2fc,Change
Q9NZM5,11.57109,17.29681,-5.725720000000001,5.725720000000001,Decrease
Q96JA1,11.09869,16.73432,-5.635630000000001,5.635630000000001,Decrease
Q8N9K5,11.61393,17.22459,-5.610659999999999,5.610659999999999,Decrease
P12645,12.21222,17.61583,-5.403609999999999,5.403609999999999,Decrease
Q8N5J2,11.64346,16.97502,-5.331560000000001,5.331560000000001,Decrease
Q13485,12.04314,17.33569,-5.29255,5.29255,Decrease
P00738,10.68946,15.93279,-5.24333,5.24333,Decrease
Q92785,13.38131,18.36636,-4.985050000000001,4.985050000000001,Decrease
Q9Y2Q0,11.77983,16.68767,-4.90784,4.90784,Decrease
Q9UNS1,13.90732,18.67545,-4.768130000000001,4.768130000000001,Decrease
P23246,13.79543,18.53979,-4.74436,4.74436,Decrease
P35269,12.89858,17.6023,-4.703719999999999,4.703719999999999,Decrease
P04114,13.87829,18.53574,-4.657450000000001,4.657450000000001,Decrease
Q8TCT7,13.85559,18.44985,-4.594260000000002,4.594260000000002,Decrease
Q96MS0,12.754,17.28326,-4.529259999999999,4.529259999999999,Decrease
Q8NHY6,16.21201,20.69631,-4.484300000000001,4.484300000000001,Decrease
Q9H3U1,12.47106,16.87849,-4.40743,4.40743,Decrease
Q9H5F2,12.32335,16.67692,-4.3535699999999995,4.3535699999999995,Decrease
Q6P2E9,10.02543,14.35207,-4.326639999999999,4.326639999999999,Decrease
Q5TD97,14.20922,18.50409,-4.294870000000001,4.294870000000001,Decrease
Q17RW2,14.08866,18.34425,-4.255589999999998,4.255589999999998,Decrease
Q96LX7,13.8959,18.10281,-4.206910000000002,4.206910000000002,Decrease
P46100,12.64392,16.82936,-4.185440000000002,4.185440000000002,Decrease
Q5T6R2,14.11463,18.23713,-4.1225000000000005,4.1225000000000005,Decrease
Q9Y6U3,14.5343,18.64057,-4.10627,4.10627,Decrease
Q96N46,14.74334,18.81969,-4.0763500000000015,4.0763500000000015,Decrease
Q5JTN6,13.57968,17.65105,-4.071370000000002,4.071370000000002,Decrease
Q99797,16.60269,20.66617,-4.063480000000002,4.063480000000002,Decrease
Q8WTW4,13.35059,17.37976,-4.029170000000001,4.029170000000001,Decrease
A1KZ92,12.84728,16.80821,-3.9609299999999994,3.9609299999999994,Decrease
Q9HCI5,11.72376,15.67583,-3.952069999999999,3.952069999999999,Decrease
Q92989,14.28693,18.23108,-3.9441499999999987,3.9441499999999987,Decrease
Q9UPX0,10.89904,14.79661,-3.89757,3.89757,Decrease
Q8N371,9.440547,13.31555,-3.8750029999999995,3.8750029999999995,Decrease
P22413,13.85743,17.72969,-3.8722600000000007,3.8722600000000007,Decrease
O15155,13.73111,17.58272,-3.851609999999999,3.851609999999999,Decrease
Q7Z443,12.41302,16.23729,-3.824270000000002,3.824270000000002,Decrease
Q99501,11.12602,14.94383,-3.8178099999999997,3.8178099999999997,Decrease
