entry,x1_max,x3_max,log2fc,abs_log2fc,Change
Q92752,14.87689,3.453142,11.423748,11.423748,Increase
Q86UP3,17.11914,7.380106,9.739034000000002,9.739034000000002,Increase
Q9H254,20.14589,12.04183,8.104060000000002,8.104060000000002,Increase
O95897,17.51642,9.964609,7.551811000000001,7.551811000000001,Increase
P12525,18.54982,11.06162,7.488200000000001,7.488200000000001,Increase
Q9UIG8,14.34562,7.005556,7.340064,7.340064,Increase
P24833,18.29225,11.21329,7.078959999999999,7.078959999999999,Increase
Q96CN4,20.90685,13.83925,7.067599999999999,7.067599999999999,Increase
Q5TH74,18.32072,11.4136,6.907120000000001,6.907120000000001,Increase
Q8N3J2,22.60104,15.81554,6.785500000000001,6.785500000000001,Increase
Q7Z406,16.1421,9.415176,6.726923999999999,6.726923999999999,Increase
Q96IZ6,17.00182,10.29102,6.710799999999999,6.710799999999999,Increase
Q14749,17.67392,11.02189,6.652029999999998,6.652029999999998,Increase
Q13237,18.32072,11.99052,6.330200000000001,6.330200000000001,Increase
Q7Z3S7,19.78791,13.51677,6.271140000000001,6.271140000000001,Increase
Q13751,18.12346,11.96076,6.162700000000001,6.162700000000001,Increase
P02818,17.71131,11.72,5.99131,5.99131,Increase
Q9UHL9,19.38547,13.45275,5.9327200000000015,5.9327200000000015,Increase
Q8N3I7,19.74004,14.01013,5.72991,5.72991,Increase
P23468,15.8802,10.19411,5.68609,5.68609,Increase
Q9UKA4,16.91397,11.39059,5.5233799999999995,5.5233799999999995,Increase
Q8IYS0,15.84826,10.32577,5.5224899999999995,5.5224899999999995,Increase
Q9Y223,16.26423,10.79517,5.469060000000001,5.469060000000001,Increase
Q9H598,20.58086,15.20997,5.370890000000001,5.370890000000001,Increase
Q9NYC9,22.20379,16.94921,5.254580000000001,5.254580000000001,Increase
P17658,16.71368,11.50167,5.212009999999999,5.212009999999999,Increase
Q9C0C7,17.04402,11.86626,5.177759999999999,5.177759999999999,Increase
Q5TCZ1,18.33323,13.18945,5.14378,5.14378,Increase
Q93100,17.60202,12.59227,5.00975,5.00975,Increase
Q5VZ46,16.1386,11.19804,4.94056,4.94056,Increase
P27105,17.14014,12.25327,4.886869999999998,4.886869999999998,Increase
Q15020,18.04863,13.22241,4.826219999999999,4.826219999999999,Increase
Q9Y6R4,16.96641,12.21626,4.75015,4.75015,Increase
P53667,16.2194,11.48105,4.7383500000000005,4.7383500000000005,Increase
Q86U86,18.31675,13.61955,4.697199999999999,4.697199999999999,Increase
Q8TC84,19.19707,14.50371,4.69336,4.69336,Increase
P36969,17.60949,12.93768,4.671810000000001,4.671810000000001,Increase
A0A0G2JMD5,17.45475,12.85536,4.599390000000001,4.599390000000001,Increase
O60733,15.81437,11.22619,4.5881799999999995,4.5881799999999995,Increase
Q8WVV5,14.53077,9.9976,4.53317,4.53317,Increase
P08922,18.66412,14.13305,4.53107,4.53107,Increase
Q9P1Y6,18.053,13.55406,4.498940000000001,4.498940000000001,Increase
Q12830,18.14845,13.7189,4.429550000000001,4.429550000000001,Increase
P17029,18.05768,13.63322,4.424460000000002,4.424460000000002,Increase
Q14332,14.38382,9.994723,4.389097,4.389097,Increase
Q9Y3S1,18.59438,14.21893,4.375450000000001,4.375450000000001,Increase
Q68DN1,17.02095,12.66213,4.35882,4.35882,Increase
O60266,14.74209,10.38355,4.35854,4.35854,Increase
O43493,17.04159,12.70489,4.336699999999999,4.336699999999999,Increase
Q96LX8,18.59636,14.29621,4.30015,4.30015,Increase
A3KN83,13.30544,22.4742,-9.168759999999999,9.168759999999999,Decrease
Q2QGD7,7.966562,16.83714,-8.870578000000002,8.870578000000002,Decrease
Q9HD15,7.452949,15.49951,-8.046561,8.046561,Decrease
Q14738,15.10436,22.88794,-7.783580000000001,7.783580000000001,Decrease
Q9UHN6,8.185965,15.83226,-7.646295,7.646295,Decrease
Q9UHD2,9.02357,16.62626,-7.602689999999999,7.602689999999999,Decrease
P23443,8.86997,16.078,-7.208029999999999,7.208029999999999,Decrease
O95256,9.021839,15.67153,-6.649691000000001,6.649691000000001,Decrease
Q9UF33,12.22877,18.55272,-6.32395,6.32395,Decrease
Q9BXU1,11.76815,17.68283,-5.914679999999999,5.914679999999999,Decrease
Q5R3F8,16.64954,22.55532,-5.90578,5.90578,Decrease
Q6P4D5,10.76965,16.64947,-5.8798200000000005,5.8798200000000005,Decrease
