entry,nc_max,x3_max,log2fc,abs_log2fc,Change
B0I1T2,14.17957,17.08748,-2.9079099999999993,2.9079099999999993,Decrease
Q9Y3X0,14.5471,17.45347,-2.906369999999999,2.906369999999999,Decrease
O60741,15.84846,18.70292,-2.8544599999999996,2.8544599999999996,Decrease
Q8IYE1,12.4308,15.28143,-2.8506300000000007,2.8506300000000007,Decrease
Q68DX3,15.97517,18.82008,-2.8449100000000005,2.8449100000000005,Decrease
Q96QZ7,13.80717,16.65107,-2.8439000000000014,2.8439000000000014,Decrease
Q8NHQ9,15.25726,18.04021,-2.782949999999998,2.782949999999998,Decrease
Q9H1V8,13.97794,16.7445,-2.7665599999999984,2.7665599999999984,Decrease
Q8NI51,12.45266,15.18422,-2.73156,2.73156,Decrease
P55157,13.43522,16.13317,-2.6979500000000005,2.6979500000000005,Decrease
Q15024,13.91818,16.60967,-2.6914900000000017,2.6914900000000017,Decrease
P40261,15.37239,17.98515,-2.6127600000000015,2.6127600000000015,Decrease
Q9H5L6,11.71246,14.31705,-2.60459,2.60459,Decrease
Q13360,14.17034,16.76309,-2.5927499999999988,2.5927499999999988,Decrease
Q9Y6V0,12.78276,15.37181,-2.5890500000000003,2.5890500000000003,Decrease
P55884,11.62406,14.20738,-2.5833200000000005,2.5833200000000005,Decrease
Q15119,14.10805,16.6826,-2.5745500000000003,2.5745500000000003,Decrease
Q9UL16,13.40671,15.95295,-2.546239999999999,2.546239999999999,Decrease
Q8WXR4,15.00215,17.52411,-2.52196,2.52196,Decrease
Q96SZ4,15.22182,17.69465,-2.47283,2.47283,Decrease
P12645,15.16946,17.61583,-2.446369999999998,2.446369999999998,Decrease
Q8WTP8,16.18016,18.61891,-2.438749999999999,2.438749999999999,Decrease
