entry,nc_max,x1_max,log2fc,abs_log2fc,Change
Q2QGD7,20.5768,7.966562,12.610237999999999,12.610237999999999,Increase
Q9HD15,19.71785,7.452949,12.264900999999998,12.264900999999998,Increase
Q9Y5A7,27.40403,15.59992,11.80411,11.80411,Increase
Q9P2N2,25.59587,13.82428,11.771590000000002,11.771590000000002,Increase
Q6P2E9,21.20522,10.02543,11.17979,11.17979,Increase
Q9UF33,23.3561,12.22877,11.12733,11.12733,Increase
Q9UHN6,19.03281,8.185965,10.846845000000002,10.846845000000002,Increase
Q8TC57,24.56501,14.15205,10.412960000000002,10.412960000000002,Increase
O60675,24.45913,14.15438,10.304749999999999,10.304749999999999,Increase
Q13439,25.90809,15.63249,10.2756,10.2756,Increase
A0A1B0GTU1,23.89595,13.62493,10.271019999999998,10.271019999999998,Increase
P01871,24.21572,14.01624,10.199480000000001,10.199480000000001,Increase
P23443,18.57803,8.86997,9.708059999999998,9.708059999999998,Increase
Q9BUV0,21.19192,11.53316,9.65876,9.65876,Increase
Q8N5J2,21.28425,11.64346,9.64079,9.64079,Increase
Q7Z6B7,22.57505,12.94146,9.633590000000002,9.633590000000002,Increase
P00387,22.28368,12.79028,9.493400000000001,9.493400000000001,Increase
Q8N0X7,24.92562,15.44629,9.47933,9.47933,Increase
Q9H9E3,25.59587,16.12006,9.475810000000003,9.475810000000003,Increase
Q8WWM7,24.75403,15.30273,9.4513,9.4513,Increase
P01857,24.21232,14.79594,9.416379999999998,9.416379999999998,Increase
Q9HC16,25.21368,15.83187,9.38181,9.38181,Increase
Q14008,24.9173,15.61106,9.30624,9.30624,Increase
P69905,25.33031,16.06852,9.261790000000001,9.261790000000001,Increase
P19971,25.48663,16.3341,9.152530000000002,9.152530000000002,Increase
Q15390,22.63472,13.50597,9.128750000000002,9.128750000000002,Increase
Q8IZL2,21.82937,12.74439,9.084980000000002,9.084980000000002,Increase
O95256,18.04695,9.021839,9.025110999999999,9.025110999999999,Increase
Q9H6R0,24.4396,15.46437,8.975229999999998,8.975229999999998,Increase
Q99501,20.10095,11.12602,8.97493,8.97493,Increase
O15155,22.69477,13.73111,8.963659999999999,8.963659999999999,Increase
Q6ZNE5,22.48708,13.55965,8.92743,8.92743,Increase
P46087,22.34707,13.45405,8.893019999999998,8.893019999999998,Increase
P35606,25.63906,16.84291,8.79615,8.79615,Increase
Q86VR2,21.32227,12.53788,8.78439,8.78439,Increase
Q9Y4K1,22.69772,13.95275,8.74497,8.74497,Increase
P40763,23.65406,14.96199,8.692070000000001,8.692070000000001,Increase
Q9UPX0,19.59036,10.89904,8.691320000000001,8.691320000000001,Increase
Q96ST8,23.34195,14.69589,8.64606,8.64606,Increase
Q14108,24.4824,15.85153,8.630869999999998,8.630869999999998,Increase
Q8NFX7,23.65291,15.05332,8.59959,8.59959,Increase
