entry,x1_max,x2_max,log2fc,abs_log2fc,Change
P49916,13.90173,5.547535,8.354195,8.354195,Increase
Q9H254,20.14589,12.83884,7.307050000000002,7.307050000000002,Increase
P59797,17.1236,9.837648,7.285952,7.285952,Increase
Q7Z3S7,19.78791,12.76069,7.02722,7.02722,Increase
Q8N3J2,22.60104,15.87053,6.730510000000001,6.730510000000001,Increase
O75410,20.93381,14.24754,6.68627,6.68627,Increase
Q13237,18.32072,11.77882,6.541900000000002,6.541900000000002,Increase
Q8N3Z3,17.29281,11.0713,6.2215099999999985,6.2215099999999985,Increase
Q8N119,15.44203,9.271099,6.170931000000001,6.170931000000001,Increase
Q9UNA1,16.29132,10.16903,6.12229,6.12229,Increase
Q9BSJ8,23.72023,17.62121,6.099019999999999,6.099019999999999,Increase
Q96QZ7,14.53815,8.459421,6.078728999999999,6.078728999999999,Increase
P25963,17.5565,11.49418,6.06232,6.06232,Increase
P0DJD3,16.36182,10.37241,5.989410000000001,5.989410000000001,Increase
P01213,17.96465,12.01331,5.951339999999998,5.951339999999998,Increase
O95980,15.28182,9.332468,5.949351999999999,5.949351999999999,Increase
Q659C4,15.45821,9.585759,5.872451,5.872451,Increase
Q6IA69,19.90531,14.10718,5.7981300000000005,5.7981300000000005,Increase
P43121,14.90108,9.151935,5.749145,5.749145,Increase
Q5TH74,18.32072,12.71994,5.600780000000002,5.600780000000002,Increase
A0A0G2JMD5,17.45475,11.97769,5.47706,5.47706,Increase
Q8WWH4,15.73393,10.43146,5.302470000000001,5.302470000000001,Increase
P10072,17.64301,12.34654,5.296470000000001,5.296470000000001,Increase
Q7L8C5,18.52924,13.27917,5.250070000000001,5.250070000000001,Increase
P07942,18.12709,12.87981,5.247279999999998,5.247279999999998,Increase
P54259,14.45859,9.254595,5.203994999999999,5.203994999999999,Increase
O94956,14.90108,9.709359,5.191721000000001,5.191721000000001,Increase
Q14585,13.96555,8.797442,5.168108,5.168108,Increase
Q149N8,15.07433,10.03887,5.0354600000000005,5.0354600000000005,Increase
Q8N392,15.11763,10.09269,5.024940000000001,5.024940000000001,Increase
P21397,17.507930000000002,12.49728,5.010650000000002,5.010650000000002,Increase
P32969,18.18639,13.21538,4.97101,4.97101,Increase
P51812,16.46903,11.66012,4.808910000000001,4.808910000000001,Increase
P02818,17.71131,12.90944,4.801870000000001,4.801870000000001,Increase
Q9NQ66,14.4062,9.701266,4.704934,4.704934,Increase
Q96CV9,15.24995,10.56446,4.68549,4.68549,Increase
Q8N998,19.93724,15.27218,4.665059999999999,4.665059999999999,Increase
Q6P1L5,16.15891,11.63423,4.524679999999998,4.524679999999998,Increase
Q8N720,16.81239,12.40007,4.412320000000001,4.412320000000001,Increase
Q93100,17.60202,13.30754,4.29448,4.29448,Increase
O14836,16.71806,12.46408,4.253980000000002,4.253980000000002,Increase
P31327,15.82974,11.58691,4.24283,4.24283,Increase
Q9UHC1,17.97904,13.79879,4.180250000000001,4.180250000000001,Increase
O43184,18.81499,14.70795,4.107040000000001,4.107040000000001,Increase
Q7Z6P3,16.13927,12.05485,4.08442,4.08442,Increase
O60830,17.79075,13.71651,4.07424,4.07424,Increase
Q12830,18.14845,14.09289,4.05556,4.05556,Increase
Q13905,17.4445,13.42653,4.017970000000002,4.017970000000002,Increase
Q96LW9,16.75797,12.76472,3.9932499999999997,3.9932499999999997,Increase
P49019,16.29058,12.32196,3.968619999999998,3.968619999999998,Increase
Q2QGD7,7.966562,20.12873,-12.162168000000001,12.162168000000001,Decrease
P23246,13.79543,24.63662,-10.841190000000001,10.841190000000001,Decrease
Q9P2N2,13.82428,22.52151,-8.69723,8.69723,Decrease
P23443,8.86997,17.12966,-8.25969,8.25969,Decrease
P00738,10.68946,18.90982,-8.22036,8.22036,Decrease
Q00796,14.33808,22.3792,-8.041120000000001,8.041120000000001,Decrease
P00387,12.79028,20.56071,-7.770430000000001,7.770430000000001,Decrease
P12645,12.21222,19.86787,-7.65565,7.65565,Decrease
P01871,14.01624,21.60978,-7.593540000000001,7.593540000000001,Decrease
Q9P2D0,16.00748,23.44639,-7.43891,7.43891,Decrease
P69905,16.06852,23.49789,-7.429370000000002,7.429370000000002,Decrease
P01834,15.73671,23.0258,-7.28909,7.28909,Decrease
O95256,9.021839,16.07491,-7.053070999999999,7.053070999999999,Decrease
Q96PQ0,14.09479,21.14641,-7.05162,7.05162,Decrease
Q7RTS9,15.51144,22.55252,-7.041080000000001,7.041080000000001,Decrease
Q8TCG1,12.76102,19.77939,-7.018369999999999,7.018369999999999,Decrease
Q8N371,9.440547,16.43143,-6.990882999999998,6.990882999999998,Decrease
P05997,13.98596,20.87646,-6.890500000000001,6.890500000000001,Decrease
Q9H0A0,14.28158,21.13463,-6.853050000000001,6.853050000000001,Decrease
P18615,17.47232,24.32096,-6.84864,6.84864,Decrease
Q13439,15.63249,22.44831,-6.815819999999999,6.815819999999999,Decrease
Q9HD15,7.452949,14.19414,-6.741191000000001,6.741191000000001,Decrease
Q96N46,14.74334,21.45009,-6.7067499999999995,6.7067499999999995,Decrease
Q6ZNE5,13.55965,20.13867,-6.579020000000002,6.579020000000002,Decrease
O15457,12.24608,18.81102,-6.56494,6.56494,Decrease
Q9UKF7,14.56753,21.10499,-6.537460000000001,6.537460000000001,Decrease
