entry,x1_max,x2_max,log2fc,abs_log2fc,Change
Q9H2P0,14.43267,20.92242,-6.489749999999999,6.489749999999999,Decrease
P49716,12.20456,18.61902,-6.414459999999998,6.414459999999998,Decrease
Q13428,15.37874,21.71044,-6.331699999999998,6.331699999999998,Decrease
Q8TE73,17.91569,24.24585,-6.330159999999999,6.330159999999999,Decrease
Q5VUA4,16.87304,23.18612,-6.313079999999999,6.313079999999999,Decrease
Q9HCN4,17.17503,23.42952,-6.2544900000000005,6.2544900000000005,Decrease
Q8WWN8,16.03468,22.28779,-6.2531099999999995,6.2531099999999995,Decrease
Q9H9E3,16.12006,22.34812,-6.228060000000003,6.228060000000003,Decrease
Q96LZ3,15.18237,21.36055,-6.178179999999999,6.178179999999999,Decrease
Q6VUC0,15.36279,21.43923,-6.076439999999998,6.076439999999998,Decrease
A4D161,16.1476,22.16938,-6.02178,6.02178,Decrease
Q9UHN6,8.185965,14.13529,-5.949325,5.949325,Decrease
Q8TC57,14.15205,20.04435,-5.892300000000002,5.892300000000002,Decrease
Q9BUV0,11.53316,17.41099,-5.877830000000001,5.877830000000001,Decrease
Q92610,13.50031,19.31062,-5.810309999999999,5.810309999999999,Decrease
P0DOY3,13.82995,19.58199,-5.752040000000001,5.752040000000001,Decrease
Q8WTW4,13.35059,19.07883,-5.7282399999999996,5.7282399999999996,Decrease
Q86X10,16.03659,21.76129,-5.724699999999999,5.724699999999999,Decrease
Q9HCL0,14.14842,19.86238,-5.713960000000002,5.713960000000002,Decrease
Q6IQ23,15.96141,21.65992,-5.698509999999999,5.698509999999999,Decrease
Q96PE3,14.07594,19.71307,-5.637129999999999,5.637129999999999,Decrease
Q08397,13.80775,19.43299,-5.62524,5.62524,Decrease
Q14690,14.90333,20.52563,-5.622299999999999,5.622299999999999,Decrease
Q7Z404,14.73018,20.34722,-5.617039999999999,5.617039999999999,Decrease
