entry
P84996
Q7Z2K8
Q6P1R4
Q8TE68
Q86X45
Q49AM1
Q9NPC4
Q5S007
Q9UQQ1
Q9Y5K6
O75145
Q2TAK8
Q6ZMP0
Q6UWJ1
Q9Y2H1
Q99575
Q5XX13
Q8WXI7
P55291
O43707
Q92826
P29374
Q8NGV0
Q5JUK3
P42892
Q6P4H8
A6NJG6
P31483
Q9UPY3
Q8WZ42
Q9UNA1
Q86WC6
P98175
Q149N8
Q9NYG8
O75164
O00515
Q9H814
Q9P243
Q9UJ68
Q8NCW6
P67812
P42701
Q9P0K7
Q9UJZ1
Q969J2
Q14566
Q9BS31
O95793
A7MD48
Q14587
Q9NWN3
Q12837
Q8WUA8
Q9UBX0
Q15772
Q7RTP6
Q00604
O60488
Q9BX84
P33076
Q7Z7L7
P17039
Q6IA69
Q9H1H9
Q8TEH3
Q5T1R4
Q9NVF7
Q8TAF3
Q96D09
O75521
Q8NCC3
O14730
Q7L8C5
Q9UHW5
Q96LB3
P15289
Q53GA4
Q9H6N6
Q9NW82
Q8NBS9
Q9Y3P9
Q9H816
Q9BY49
Q9Y572
Q14511
Q9BZQ8
Q9UDY4
Q86Y13
Q96LJ8
P25705
P22455
P56282
P08247
P49720
Q9P2F6
P51451
A6NIR3
P14780
Q7L8A9
Q12996
Q149M9
Q96NL3
Q86UU1
B7Z8K6
Q96C12
Q9P219
Q8IVF4
A8MXQ7
P55290
Q9UF11
Q6P1Q0
Q9ULV1
P53708
P57081
Q9BZZ5
Q12983
Q9NUQ8
Q8WWM7
Q13387
P27708
Q9BQ61
Q8IWQ3
Q8TDC0
B2RTY4
O60256
P49407
Q9NS66
O94993
Q8IYA6
A7KAX9
Q66PJ3
Q9H0J4
Q2M218
Q5TEJ8
P11055
Q969X6
Q7Z7M0
A6NMZ2
Q9UGC7
P42858
P18615
O95477
O60271
Q7Z3E5
P32004
Q9BRS2
P08254
A0A1B0GV03
Q8NCR6
Q6DKK2
P02655
Q8NAP3
Q7L3S4
P01024
A0A1B0GTU1
Q9UND3
Q9Y6H8
Q9P2N2
