"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"89","EZH1 KIAA0388",2.85098001019113,0.527205582760707,FALSE
"90","LRRC24",2.84582975109175,0.905935735812857,FALSE
"91","ATP11C ATPIG ATPIQ",2.81918718374846,0.238616179869259,FALSE
"92","FOLR1 FOLR",2.78498302700179,0.242602582781622,FALSE
"93","VCAM1",2.78278071950627,0.34264492890683,FALSE
"94","XPO1 CRM1",2.78098637598923,0.394087448870782,FALSE
"95","PLXNA1 NOV PLXN1",2.76798526021378,0.303380265742392,FALSE
"96","GRIA3 GLUR3 GLURC",2.76699502240153,0.532766213579808,FALSE
"97","XK XKR1 XRG1",2.74027837201853,0.715978066584879,FALSE
"98","HAT1 KAT1",2.73193367362208,1.0161149125701,FALSE
"99","INPP4A",2.72539810667157,0.787834208157098,FALSE
"100","SORL1 C11orf32",2.7223136885555,0.856099745584012,FALSE
"101","GPRIN3 KIAA2027",2.71184251514378,0.152751057661612,FALSE
"102","DEF6 IBP",2.70669245612923,0.23440431046305,FALSE
"103","SHROOM2 APXL",2.69618631120892,0.327943941366696,FALSE
"104","GLYAT ACGNAT CAT GAT",2.67843256800919,0.162080370576594,FALSE
"105","ARGFX",2.66739268081124,0.694643438941747,FALSE
"106","TIA1",2.66039923618531,0.333869777720437,FALSE
"107","ZG16",2.65679358598404,1.26340153231614,FALSE
"108","QARS1 QARS",2.64179162429998,1.20618650499108,FALSE
"109","PLIN5 LSDP5 OXPAT PAT-1",2.6244598078212,1.06119717791927,FALSE
"110","PIK3C2A",2.61192031179131,0.408297099889329,FALSE
"111","ARHGAP42 GRAF3 TMEM133",2.60469913062855,0.230839453598587,FALSE
"112","STEAP3 TSAP6",2.60218881576172,0.818891792716536,FALSE
"113","DNASE1 DNL1 DRNI",2.5827712743388,0.712782831252826,FALSE
"114","COG3 SEC34",2.57296715390629,1.05222172786503,FALSE
"115","TMEM131 KIAA0257 RW1",2.55806249890341,0.477704869247352,FALSE
"116","JAM3 UNQ859/PRO1868",2.54718800787158,0.0967451272582191,FALSE
"117","HIF1A BHLHE78 MOP1 PASD8",2.54066106593076,0.132164904047605,FALSE
"118","ESYT1 FAM62A KIAA0747 MBC2",2.53545836047526,0.334017712853842,FALSE
"119","CRAMP1 C16orf34 CRAMP1L HN1L KIAA1426",2.52914281539172,0.775513573842572,FALSE
"120","HDAC4 KIAA0288",2.52495364913931,0.444359348100819,FALSE
"121","CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4",2.523633527751,0.391725925098592,FALSE
"122","ABCC3 CMOAT2 MLP2 MRP3",2.51957620586004,0.447245377918505,FALSE
"123","EPHX2",2.50730694222723,1.09245588424592,FALSE
"124","TSSK2 DGSG SPOGA2 STK22B",2.4988769628163,0.935951953104128,FALSE
"125","MGA KIAA0518 MAD5",2.49776811218653,0.43750902807045,FALSE
"126","COPRS C17orf79 COPR5",2.496628166173,0.274961063545669,FALSE
"127","MGAT5B KIAA2008",2.49448832419634,0.181945354041992,FALSE
"128","IGKV3-20",2.48360320264676,0.0641146193413286,FALSE
"129","ARL6IP1 ARL6IP ARMER KIAA0069",2.47637741171533,0.130072177146315,FALSE
"130","MEN1 SCG2",2.46410216372626,0.115105539741214,FALSE
"131","RAP1GAP KIAA0474 RAP1GA1",2.45014014038613,1.13581120634109,FALSE
"132","KCNT1 KIAA1422",2.43995943052462,0.150011996552697,FALSE
"133","USP31 KIAA1203",2.43718799077282,0.158438676159483,FALSE
"134","TNKS1BP1 KIAA1741 TAB182",2.43183916057142,0.116271948759091,FALSE
"135","ARL13A",2.42845691070454,0.0918132316685878,FALSE
"136","CCDC171 C9orf93",2.42094591579239,0.103733573939834,FALSE
"137","DNAH7 KIAA0944",2.40075114232092,0.62967738310787,FALSE
"138","HIVEP3 KBP1 KIAA1555 KRC ZAS3",2.38791871349025,0.395836635180056,FALSE
"139","CEBPD",2.37632984631762,0.988539980849331,FALSE
"140","MRPS15 RPMS15 DC37",2.37041692793957,0.119624932298091,FALSE
"141","MAP3K1 MAPKKK1 MEKK MEKK1",2.36553761953832,0.20078031555158,FALSE
"142","FAM205BP C9orf144 C9orf144A FAM205B",2.35837316312692,0.493283446839618,FALSE
"143","TRPM5 LTRPC5 MTR1",2.35603498102406,0.156877756543797,FALSE
"144","TRAK2 ALS2CR3 KIAA0549",2.35295978556731,0.53689004055124,FALSE
"145","A2M CPAMD5 FWP007",2.35074497256641,0.0891420447339241,FALSE
"146","EPPK1 EPIPL",2.33022826888966,0.0618867453510469,FALSE
"147","RIMS2 KIAA0751 RAB3IP3 RIM2",2.32828704663281,0.537797768616328,FALSE
"148","RTTN",2.32735786613402,0.30237431868032,FALSE
"149","SEPTIN8 KIAA0202 SEPT8",2.31286612452243,0.794800366347675,FALSE
"150","ACE DCP DCP1",2.29808741868036,0.08705070416766,FALSE
"151","PLCD3 KIAA1964",2.29346713581798,0.125098344567751,FALSE
"152","POM121 KIAA0618 NUP121 POM121A",2.29244183558532,0.170579334613414,FALSE
"153","AMD1 AMD",2.29153587960726,0.220683946783921,FALSE
"154","LDHC LDH3 LDHX",2.27994006591512,0.510689550028374,FALSE
"155","ITIH3",2.27875027233334,0.453607422512765,FALSE
"156","HAUS6 DGT6 FAM29A KIAA1574",2.27567538409721,0.475118906149847,FALSE
"157","SAE1 AOS1 SUA1 UBLE1A",2.27406708394681,1.04250684704474,FALSE
"158","GLP2R",2.27252431111008,0.151587150706744,FALSE
"159","RIN3",2.26627891422818,0.173359967278078,FALSE
"160","PM20D2 ACY1L2",2.26218637231875,0.878663583401482,FALSE
"161","POC1B WDR51B",2.25916008306056,0.482629145527164,FALSE
"162","MYLK3 MLCK",2.25849945801225,0.122272057173923,FALSE
"163","RBM6 DEF3",2.25276477852074,0.306491683878635,FALSE
"164","ACOX1 ACOX",2.25080775202518,0.550382782326452,FALSE
"165","STAB1 FEEL1 KIAA0246",2.25011776138843,0.343424449189555,FALSE
"166","CCDC17",2.2451516838966,0.161372898681297,FALSE
"167","ARHGAP26 GRAF KIAA0621 OPHN1L",2.23760307745563,0.354523899958242,FALSE
"168","USP34 KIAA0570 KIAA0729",2.22871924872248,0.22112320121948,FALSE
"169","VWDE",2.2209012974366,0.580935899183677,FALSE
"170","SASH1 KIAA0790 PEPE1",2.21901755226332,0.177606101359853,FALSE
"171","FRMPD2 PDZD5C PDZK4 PDZK5C",2.20174558320525,0.321801112972735,FALSE
"172","ADCY3 KIAA0511",2.20162870876186,0.165350682314558,FALSE
"173","RPS6KA6 RSK4",2.18943306347131,0.713953630350468,FALSE
"174","MMP21",2.18012418901675,0.309486586433651,FALSE
"175","TMEM43 UNQ2564/PRO6244",2.17499514583078,0.22858620619375,FALSE
"176","HDLBP HBP VGL",2.16997602351631,0.142084134574015,FALSE
"177","KIZ C20orf19 NCRNA00153 PLK1S1 HT013",2.15303580409434,0.142250757201566,FALSE
"178","ATRX RAD54L XH2",2.14117626775776,0.189789209134055,FALSE
"179","CCDC8",2.13291860460299,0.219425490859686,FALSE
"180","ZFHX3 ATBF1",2.1263957318006,0.291623341346916,FALSE
"181","CENPE",2.11895792254679,0.141393815115117,FALSE
"182","KRT4 CYK4",2.11655558791906,0.0692052409088729,FALSE
"183","GHSR",2.11440437994833,0.2137474558643,FALSE
"184","DNAH6 DNAHC6 DNHL1 HL2 KIAA1697",2.11304899642914,0.124215206621896,FALSE
"185","HBA1",2.11295921681787,0.160615763647404,FALSE
"186","CORO2B KIAA0925",2.10656826371864,0.0917069717871431,FALSE
"187","NSUN5P1 NSUN5B WBSCR20B",2.10426422956551,0.21592493768593,FALSE
"188","M1AP C2orf65 SPATA37",2.09650208945441,0.0500755693556599,FALSE
"189","WAS IMD2",2.08684035550634,0.0396585071867881,FALSE
"190","OR2T11",2.08412469558069,0.406203854930976,FALSE
"191","ZFYVE21",2.07987692512099,0.0779543114276934,FALSE
"192","FBXL19 FBL19",2.07947098621948,0.116244628286443,FALSE
"193","LRRC9",2.07800532760796,0.458184648678157,FALSE
"194","ANKRD17 GTAR KIAA0697",2.06874853287021,0.0814068489020977,FALSE
"195","OBSCN KIAA1556 KIAA1639",2.05749384260498,0.337041046528576,FALSE
"196","KIF13A RBKIN",2.05533425568208,0.305085626472066,FALSE
"197","EIF3H EIF3S3",2.05401653836073,0.070579408634788,FALSE
"198","OR6K6",2.05238251426799,0.0958171909057768,FALSE
"199","TAF6 TAF2E TAFII70",2.049337436087,0.186740593679304,FALSE
"200","ALOX15 LOG15",2.04831794998691,0.213078438297265,FALSE
"201","ACY1",2.04671095241971,0.61226831614139,FALSE
"202","EGLN2 EIT6",2.03706991052138,0.105916056833405,FALSE
"203","PSMB4 PROS26",2.03620936954347,0.0462105723752331,FALSE
"204","MMP8 CLG1",2.03390253986769,0.0902805666293581,FALSE
"205","DNAH9 DNAH17L DNEL1 KIAA0357",2.02793110105695,0.122215123895118,FALSE
"206","TMC4",2.02661864968034,0.0504784215890609,FALSE
"207","GPRASP2",2.02625982257718,0.31126310429806,FALSE
"208","STARD13 DLC2 GT650",2.01736989065213,0.246459447879076,FALSE
"209","C11orf95",2.01511769193182,0.170760375597084,FALSE
"210","TMEM145",2.00997234123492,0.39321783533189,FALSE
"211","PTPRT KIAA0283",2.0048049655752,0.181280987024324,FALSE
"212","SUPV3L1 SUV3",2.00381578997728,0.811519949853739,FALSE
"213","TRPM8 LTRPC6 TRPP8",1.99374623287602,0.124674899044669,FALSE
"214","PDK1 PDHK1",1.98832608070244,0.0747774903884138,FALSE
"215","ABCC6 ARA MRP6",1.98513677921121,0.138902795704896,FALSE
"216","NKTR",1.98457297013256,0.616441151359559,FALSE
"217","VAV1 VAV",1.9681121103831,0.0891105769497005,FALSE
"218","SBNO2 KIAA0963",1.96361212966864,0.096112820529893,FALSE
"219","DDX46 KIAA0801",1.96028366966222,0.0925590598276605,FALSE
"220","CPSF6 CFIM68",1.95749966891684,0.0851720426647666,FALSE
"221","THSD4 UNQ9334/PRO34005",1.95428121864532,0.0851968365217524,FALSE
"222","SAP30L NS4ATP2",1.9539892577233,0.200739271448541,FALSE
"223","LTF GIG12 LF",1.95287188909628,0.0977337262982432,FALSE
"224","SLC20A1 GLVR1 PIT1",1.95235176397504,0.440062487462309,FALSE
"225","ERVPABLB-1",1.94871354998043,0.126199632204376,FALSE
"226","FRAS1 KIAA1500",1.94135163116765,0.707584306635475,FALSE
"227","TLE6",1.93508172531036,0.142000211856493,FALSE
"228","EPHA4 HEK8 SEK TYRO1",1.92985080219667,0.0712074258871277,FALSE
"229","MPP3 DLG3",1.92901522113401,0.268012622199569,FALSE
"230","DOCK9 KIAA1058 ZIZ1",1.9267305731745,0.13773709490777,FALSE
"231","SLC25A10 DIC",1.92451819149657,0.532125297588659,FALSE
"232","SHC2 SCK SHCB",1.91705008796064,0.0410115989472281,FALSE
"233","SRRM1 SRM160",1.91648192568075,0.200582818129879,FALSE
"234","RPH3A KIAA0985",1.9140816321421,0.0965742201586124,FALSE
"235","GPR173 SREB3",1.91151056212923,0.176820444289521,FALSE
"236","BTNL2",1.89983434557586,0.252057519497402,FALSE
"237","PHF20L1 CGI-72",1.89893300813905,0.12603708996509,FALSE
"238","EIF2S2 EIF2B",1.89177970014696,0.194416296227586,FALSE
"239","ABCB7 ABC7",1.8800110174048,0.633372173484876,FALSE
"240","GSDMC MLZE",1.87946269989706,0.128020383626734,FALSE
"241","LAMB3 LAMNB1",1.87599966903145,0.119945500196789,FALSE
"242","ANO8 KIAA1623 TMEM16H",1.87566948442361,0.117047864899842,FALSE
"243","DEPDC5 KIAA0645",1.86782910720817,0.221412264051132,FALSE
"244","ZNF292 KIAA0530",1.8676326573207,0.173069562601698,FALSE
