"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"1","PLEKHH3",8.36859403826688,1.82262427187536,TRUE
"2","HYLS1 HLS",7.40816688708853,2.33944597025251,TRUE
"3","BNIP3 NIP3",7.11704658724727,1.59669927551138,TRUE
"4","SEPTIN8 KIAA0202 SEPT8",7.00837230433283,1.76591116820308,TRUE
"5","SLC6A20 SIT1 XT3 XTRP3",6.29965973643538,1.78041900162105,TRUE
"6","SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1",6.28574420461255,1.7504984186646,TRUE
"7","TAS2R41",-7.35197700025554,1.55845375598806,TRUE
"8","RNF31 ZIBRA",7.75366137201962,0.480617032118079,FALSE
"9","RNF17 TDRD4",7.3803120278684,0.570507088213089,FALSE
"10","E5",7.32527566757155,0.409698740245507,FALSE
"11","NDUFS8",7.14588481726699,1.04731604987355,FALSE
"12","MAFK",7.07095571640355,0.882926651227646,FALSE
"13","ATRNL1 KIAA0534",7.06342834646659,0.80337344586466,FALSE
"14","IGKC",7.05519024908206,0.0937314752148217,FALSE
"15","GABRA3",6.90037798613489,0.475956808717397,FALSE
"16","POSTN OSF2",6.68550392500561,0.472184026027246,FALSE
"17","FBL FIB1 FLRN",6.68046169716655,0.637490261012038,FALSE
"18","PSMB4 PROS26",6.56601478729912,0.0486355062386977,FALSE
"19","USP44",6.48462067858111,0.169371099335033,FALSE
"20","AP1S2 DC22",6.42503878264131,1.2547967044254,FALSE
"21","PKDREJ",6.41038340487029,0.902250427972365,FALSE
"22","ELFN2 KIAA1904 LRRC62 PPP1R29",6.35928075975042,0.805284648742131,FALSE
"23","IGHM",6.3048107836777,0.200016946183841,FALSE
"24","LRRC10",6.29547615049697,0.127121798523452,FALSE
"25","PLEKHM1 KIAA0356",6.26984129438841,0.155417308933562,FALSE
"26","AFDN-DT AFDN-AS1 C6orf124",6.21983810003595,1.05181053444891,FALSE
"27","BANP BEND1 SMAR1",6.19928029054382,0.717315343023372,FALSE
"28","DPY19L1 GA0500 KIAA0877",6.15889301567124,0.337522376578478,FALSE
"29","ARHGAP25 KIAA0053",6.109684549825,1.01591628064857,FALSE
"30","ZNF841",6.00026048318741,0.899617790816619,FALSE
"31","CAND1 KIAA0829 TIP120 TIP120A",5.97897111552544,0.622620748145963,FALSE
"32","ZNF576",5.96632451497319,0.398095062464592,FALSE
"33","ARL13A",5.95733453712008,0.06695402999887,FALSE
"34","DDX31",5.94566712539071,0.578654801400436,FALSE
"35","PPP2R1A",5.87061643109246,0.100246944004585,FALSE
"36","IGHA1",5.82940119729538,0.24713853501006,FALSE
"37","ZNF592 KIAA0211",5.81535248453105,0.85506925860229,FALSE
"38","HIF3A BHLHE17 MOP7 PASD7",5.79226301218862,0.664414011578001,FALSE
"39","C12orf54 HSD-29 HSD-30 HSD29 HSD30",5.76244070938147,0.33369750794861,FALSE
"40","STAT3 APRF",5.7350068989112,0.64801231434692,FALSE
"41","MINDY3 C10orf97 CARP DERP5 FAM188A MSTP126 My042",5.64701551836072,0.442862643734004,FALSE
"42","SBNO2 KIAA0963",5.64454873696665,0.131944799327319,FALSE
"43","ZDBF2 KIAA1571",5.59974082644645,0.0459469665225745,FALSE
