"","protein","log2_fold_change","adjusted_p_value_-log10","significant"
"1","ICE1 KIAA0947",6.76361617890713,1.46788027345084,TRUE
"2","AKR1A1 ALDR1 ALR",4.76922985377412,1.45645625002182,TRUE
"3","ARHGAP20 KIAA1391",-4.66844763838129,1.88996483677374,TRUE
"4","CEP104 KIAA0562",-4.99775464785198,1.8460731604428,TRUE
"5","SEPTIN8 KIAA0202 SEPT8",-5.11390290122651,1.42533518086417,TRUE
"6","RSAD2 CIG5",-5.17554807002773,1.67393705192769,TRUE
"7","MAB21L1 CAGR1 Nbla00126",-5.24086613024723,2.10333335449426,TRUE
"8","ZNF318 HRIHFB2436",-5.3285037234395,1.36060752812106,TRUE
"9","PDCD1 PD1",-5.36200244266569,1.4992716571881,TRUE
"10","GOLGA8B",-5.36501652601441,1.84459533115278,TRUE
"11","ABCA1 ABC1 CERP",-5.4550025485005,2.54799446808649,TRUE
"12","TMC5 UNQ8238/PRO33604",-5.68614164803668,2.04296562841752,TRUE
"13","IBTK BTKI KIAA1417",-5.70997889042998,2.23603861487921,TRUE
"14","SMC1A DXS423E KIAA0178 SB1.8 SMC1 SMC1L1",-5.73300738417566,2.45338331695287,TRUE
"15","CTDP1 FCP1",-5.87429945234279,1.51159297585537,TRUE
"16","CARD9",-5.93307880020273,3.21098658147107,TRUE
"17","ZNF592 KIAA0211",-6.07266349856562,1.90631291763561,TRUE
"18","CHURC1 C14orf52 CHCH My015",-6.14953916235779,2.64858840683982,TRUE
"19","ELFN2 KIAA1904 LRRC62 PPP1R29",-6.29343796230421,1.57096868324572,TRUE
"20","TOMM70 KIAA0719 TOM70 TOMM70A",-6.42221721848719,2.51557967145297,TRUE
"21","CD80 CD28LG CD28LG1 LAB7",-6.55067451596645,3.08532674154704,TRUE
"22","KITLG MGF SCF",-6.69207160567943,1.93177355636606,TRUE
"23","PKDREJ",-6.71286269952886,1.99355585350763,TRUE
"24","MINDY3 C10orf97 CARP DERP5 FAM188A MSTP126 My042",-6.82641127508236,1.73899750673514,TRUE
"25","BANP BEND1 SMAR1",-6.86314677870608,1.93299665935302,TRUE
"26","NDUFS8",-6.90180721287957,1.89527514171915,TRUE
"27","SNF8 EAP30",-6.92356563171582,1.93238974577996,TRUE
"28","AP1S2 DC22",-7.12508592281281,3.08126226083145,TRUE
"29","DDX31",-7.15217189478468,2.02860627993605,TRUE
"30","MAFK",-7.22795233095636,1.88097336065234,TRUE
"31","ATRNL1 KIAA0534",-7.40645169504946,1.85895572570542,TRUE
"32","SLC6A20 SIT1 XT3 XTRP3",-7.65062118611942,4.95060259654085,TRUE
"33","HYLS1 HLS",-7.73399520083852,4.79292475260102,TRUE
"34","PLEKHH3",-7.82348127703206,2.86924944309098,TRUE
"35","BNIP3 NIP3",-7.88409483133399,3.58724155494881,TRUE
"36","ARHGAP25 KIAA0053",-8.20276964595393,4.03092179201905,TRUE
"37","ESYT1 FAM62A KIAA0747 MBC2",5.52452548832083,0.656022952078847,FALSE
"38","IP6K2 IHPK2 TCCCIA00113",5.36716773839711,0.157219749811169,FALSE
"39","STAG3",5.33430515510069,0.620596688078561,FALSE
"40","HMGCLL1",5.17671768586013,0.60761024276106,FALSE
"41","ADGRV1 GPR98 KIAA0686 KIAA1943 MASS1 VLGR1",4.65545530276611,0.654162584355617,FALSE
"42","ITCH",4.60597247334997,0.180926917112207,FALSE
"43","RFX3",4.59692878862159,0.212136106320994,FALSE
"44","PMM2",4.57910696760255,0.751291669413386,FALSE
"45","EPRS1 EPRS GLNS PARS QARS QPRS PIG32",4.40468601224395,1.16404194751638,FALSE
"46","POLR2A POLR2",4.37558740555065,0.966855640224315,FALSE
"47","SGCD",4.237575452831,0.598037206536951,FALSE
"48","CGNL1 JACOP KIAA1749",4.2292542708927,0.49103073828689,FALSE
"49","IQCF5",4.2067858354329,0.712825087623669,FALSE
"50","CHD7 KIAA1416",4.15510499420129,0.492582858655837,FALSE
"51","COPS4 CSN4",4.13333174070646,0.431135882253258,FALSE
"52","CCT4 CCTD SRB",4.09404454566333,0.503567557334517,FALSE
"53","ZNF875 HKR1",4.00735145610318,0.371257665594747,FALSE
"54","MED12 ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230",3.99749383483215,0.113450547658069,FALSE
"55","KLHL26",3.91580511685622,0.433206792971199,FALSE
"56","GAK",3.89753739791107,0.0866834348741652,FALSE
"57","PSPC1 PSP1",3.88672146823398,0.0705813846366065,FALSE
"58","CENPC CENPC1 ICEN7",3.88526501673238,0.628028920587093,FALSE
"59","FBXO28 CENP-30 KIAA0483",3.84658638827236,0.32983369070876,FALSE
"60","ENAM",3.84283726847371,0.227807116346729,FALSE
"61","ZFYVE21",3.83545449245644,0.0977985589493626,FALSE
"62","SENP1",3.81855938294933,0.260523470724194,FALSE
"63","PPP2R5C KIAA0044",3.79944787701856,0.113186833103666,FALSE
"64","JAGN1",3.79612522073377,0.465565990452565,FALSE
"65","NPHP4 KIAA0673",3.77546669122918,0.382744159547001,FALSE
"66","MAGI3 KIAA1634",3.75901356656506,0.0902116552510283,FALSE
